trial_number,value,ATR_MULTIPLIER,VCP_TIGHTNESS_RANGE,BREAKOUT_BUFFER_ATR,BREAKOUT_VOL_MULT,TARGET_RR,TRAIL_ATR_MULT,REGIME_BULL_THRESHOLD
0,-5.0,1.349816047538945,0.06827500072434707,0.44639878836228103,1.0993292420985183,2.293611184265462,1.9871934244034433,22
1,-5.0,1.5464704583099742,0.056039025411012314,0.4416145155592091,0.8102922471479013,2.7819459112971963,2.798931168960506,27
0,-5.0,1.349816047538945,0.06827500072434707,0.44639878836228103,1.0993292420985183,2.293611184265462,1.9871934244034433,22
1,-5.0,1.5464704583099742,0.056039025411012314,0.4416145155592091,0.8102922471479013,2.7819459112971963,2.798931168960506,27
0,-5.0,1.349816047538945,0.06827500072434707,0.44639878836228103,1.0993292420985183,2.293611184265462,1.9871934244034433,22
1,-5.0,1.5464704583099742,0.056039025411012314,0.4416145155592091,0.8102922471479013,2.7819459112971963,2.798931168960506,27
0,-5.0,1.349816047538945,0.06827500072434707,0.44639878836228103,1.0993292420985183,2.293611184265462,1.9871934244034433,22
1,-5.0,1.5464704583099742,0.056039025411012314,0.4416145155592091,0.8102922471479013,2.7819459112971963,2.798931168960506,27
0,-5.0,1.349816047538945,0.06827500072434707,0.44639878836228103,1.0993292420985183,2.293611184265462,1.9871934244034433,22
1,-5.0,1.5464704583099742,0.056039025411012314,0.4416145155592091,0.8102922471479013,2.7819459112971963,2.798931168960506,27
0,0.012679314376625886,1.349816047538945,0.06827500072434707,0.44639878836228103,1.0993292420985183,2.293611184265462,1.9871934244034433,22
1,0.042888402098043454,1.5464704583099742,0.056039025411012314,0.4416145155592091,0.8102922471479013,2.7819459112971963,2.798931168960506,27
2,-0.009445025035927734,1.2727299868828403,0.041419157844870186,0.3608484485919075,1.062378215816119,2.4591670111852695,2.14947496823765,42
3,-0.010752838159726125,1.2557975442608167,0.04522506269873264,0.3732723686587383,1.028034992108518,2.671105576835808,2.0396085385900316,38
4,-0.01878072775586718,1.436965827544817,0.036625764445199924,0.4215089703802877,0.8852620618436458,2.239030955791168,2.938662644704,54
5,0.008213454325588116,1.5233589392465845,0.045661481921067976,0.31953442280127675,1.1421165132560784,2.464091496243761,1.9464458818137347,37
6,0.012581584153764506,1.2137554084460873,0.06682621407275738,0.3517559963200034,1.131261142176991,2.3870266456536466,2.424081625413373,39
7,-0.01734802987203809,1.2739417822102108,0.06893546197175955,0.4550265646722229,1.2697494707820947,2.7368964102565894,2.5174799745733023,53
8,0.005058773650862238,1.2353970008207678,0.04185940018467008,0.3090454577821076,0.9626651653816323,2.433206373813689,2.125618838128675,49
9,-0.011553504266256941,1.3427013306774358,0.04483270783905833,0.4085392166316497,0.8704621124873814,2.6813181884524235,1.889460772415725,55
10,0.037686964792912656,1.5915380397504106,0.057936685121409044,0.49390742215757316,0.8089809378074099,2.591119930466907,2.8891977543390217,23
11,0.0377640130319702,1.5921595481731863,0.056940927571729874,0.4994930949531938,0.8043736834843054,2.5994815234960633,2.9598643777971265,22
12,0.033049990614890834,1.5975107850860113,0.05668368800967598,0.4988933026402503,0.8021093106319138,2.5889707180820656,2.7147170596405736,29
13,0.026639174319197746,1.5030142520343888,0.05309993055662292,0.460353712273724,0.928455983614455,2.788976059057414,2.700897625489323,28
