trial_number,value,ATR_MULTIPLIER,VCP_TIGHTNESS_RANGE,BREAKOUT_BUFFER_ATR,BREAKOUT_VOL_MULT,TARGET_RR,TRAIL_ATR_MULT,REGIME_BULL_THRESHOLD,ENGINE3_RS_THRESHOLD,MAX_OPEN_POSITIONS,CCI_STRICT_FLOOR,CCI_RLX_FLOOR
0,1.0174198290453922,1.349816047538945,0.06827500072434707,0.4829984854528513,1.0993292420985183,2.293611184265462,2.8119890406724055,46,-0.013382385422506483,4,-37.51564533223727,-39.176620228167906
1,1.0174198290453922,1.5879639408647979,0.06413549242801476,0.353084777669569,0.8909124836035504,2.3100427059120605,3.1084844859190754,56,-0.056805498135788425,3,-43.28882631665723,-34.42024557391833
0,1.0174198290453922,1.349816047538945,0.06827500072434707,0.4829984854528513,1.0993292420985183,2.293611184265462,2.8119890406724055,46,-0.013382385422506483,4,-37.51564533223727,-39.176620228167906
1,1.0174198290453922,1.5879639408647979,0.06413549242801476,0.353084777669569,0.8909124836035504,2.3100427059120605,3.1084844859190754,56,-0.056805498135788425,3,-43.28882631665723,-34.42024557391833
0,1.0174198290453922,1.349816047538945,0.06827500072434707,0.4829984854528513,1.0993292420985183,2.293611184265462,2.8119890406724055,46,-0.013382385422506483,4,-37.51564533223727,-39.176620228167906
1,1.0174198290453922,1.5879639408647979,0.06413549242801476,0.353084777669569,0.8909124836035504,2.3100427059120605,3.1084844859190754,56,-0.056805498135788425,3,-43.28882631665723,-34.42024557391833
0,1.0174198290453922,1.349816047538945,0.06827500072434707,0.4829984854528513,1.0993292420985183,2.293611184265462,2.8119890406724055,46,-0.013382385422506483,4,-37.51564533223727,-39.176620228167906
1,1.0174198290453922,1.5879639408647979,0.06413549242801476,0.353084777669569,0.8909124836035504,2.3100427059120605,3.1084844859190754,56,-0.056805498135788425,3,-43.28882631665723,-34.42024557391833
0,0.01773397752808989,1.349816047538945,0.06827500072434707,0.4829984854528513,1.0993292420985183,2.293611184265462,2.8119890406724055,46,-0.013382385422506483,4,-37.51564533223727,-39.176620228167906
1,-3.0,1.5879639408647979,0.06413549242801476,0.353084777669569,0.8909124836035504,2.3100427059120605,3.1084844859190754,56,-0.056805498135788425,3,-43.28882631665723,-34.42024557391833
2,-0.021516977116855546,1.3168578594140872,0.047822664515279216,0.41401749605425897,1.1925879806965067,2.319804269295016,3.5284688768272234,57,-0.09535495872800023,4,-69.76855257876251,-37.39793628058882
3,-3.0,1.5795542149013333,0.06879712115760958,0.5020993370291154,0.9523068845866853,2.2586032684038306,3.8684660530243136,54,-0.08779617651552213,4,-77.9366887330869,-3.6271839168487174
4,-5.0,1.3035119926400067,0.05818827995238937,0.37792776902235276,1.0600340105889055,2.528026167605968,2.8697089110510543,65,-0.022486717663888545,5,-26.31035897434107,-16.084000847556595
5,0.023857057755567828,1.568749694009247,0.03809723757181718,0.3489957156047863,0.8226136444552691,2.3951981984579587,3.2773545793789642,50,-0.017126249084807067,4,-63.14392941875715,-18.29215667367006
6,-3.0,1.256369689989905,0.0630768943263914,0.3186376609199427,1.2934434683002587,2.6633468615779945,2.897431363068345,45,-0.018453857154516584,5,-36.25956991754076,-9.149186132562171
7,-3.0,1.229617860693636,0.047546300499049544,0.3289672648812824,1.2315517129377969,2.5739788760965348,3.1617960497052984,46,-0.06890176782843378,3,-36.22362929971616,-14.497701145791474
8,-5.0,1.5548850970305308,0.05152752238066823,0.3298985614845754,1.1566223936114977,2.6564710291701386,3.6225543951389927,61,-0.05062044036356093,4,-54.347538898487024,-38.98323493023619
9,-3.0,1.2431565707973218,0.036100021499035705,0.4591026028159451,0.9571779905381634,2.5051424146988217,4.315132947852186,50,-0.05896170769643703,5,-66.27211007050265,-36.92080360684828
10,0.0012726537546822619,1.4650264125426418,0.03520990140345362,0.5423842776969665,0.8089809378074099,2.398970508668546,4.080694267877075,52,-0.00250597847528301,3,-57.22374539478659,-28.76956183041183
11,0.03313498554612786,1.423409892311716,0.04226437830244275,0.43390606600887255,1.0658485132696465,2.390971750074885,2.5199760147626615,49,-0.028901026621612244,4,-22.90788442761721,-23.797842851425624
12,0.043452144992901745,1.4468014427500957,0.04326804877507435,0.392568932084035,1.0037060651556444,2.4091191667726273,2.5294510386209916,50,-0.03391442747077132,4,-21.5913390277939,-24.382523201932344
13,0.0046193471354349916,1.4474733468010654,0.042400274333940245,0.41535120987172197,0.9969622999420823,2.7792027676392728,2.551571816710326,49,-0.03643734024149517,4,-21.1099067321137,-24.601283875104542
14,0.016501478808342296,1.405474443317611,0.043564901440391594,0.39059522588628615,1.031841478188517,2.4085696891285795,2.5303985412453747,48,-0.03748281235856283,3,-27.03037423432367,-24.80628196526994
15,0.006476972600839235,1.4909010656595982,0.041614738096459984,0.45649948120661704,1.113292353739982,2.4410413973150487,2.5017610508909387,53,-0.03650915376043477,5,-20.8235849766739,-29.45592728983182
16,0.03317508184764992,1.394241770846005,0.05433850938549141,0.4350237550283985,0.9105844647377123,2.221782887939271,2.7606543102313563,58,-0.029238621153275357,4,-46.13496880108879,-22.662758427822776
17,-5.0,1.3640794204863098,0.0556905298344203,0.3807469943521882,0.8821983688049928,2.201643613221601,2.7698651835070276,59,-0.0008722803856400785,3,-46.054078517168804,-12.459021817640814
18,-5.0,1.4792824680028864,0.0520896552960464,0.4418169623128494,0.90387188211428,2.2153126934304264,3.037748030640579,62,-0.07599215071262627,5,-50.81876153673225,-20.82056722108834
19,0.11152710905351086,1.5100913116670416,0.04752223188054929,0.4982486998839929,0.9632263830988695,2.3504930301966165,3.40160225305088,58,-0.045890903340571686,4,-41.18806689591412,-30.585339076785115
